Time;Event;Name;MyEnergie;MyGunHeat;MyGunHeading;MyHeading;MyRadarHeading;MyVelocity;EnemyName;Energy;Distance;Bearing;Heading;Velocity;Rank
240;ScannedRobot;CyberSquad.Manivela*;62,50;1,40;285,85;12,74;285,85;0,00;sample.Crazy;62,50;1,40;285,85;12,74;8,00;0
241;ScannedRobot;CyberSquad.Manivela*;62,50;1,30;288,34;12,74;288,34;0,00;sample.Crazy;62,50;1,30;288,34;12,74;8,00;0
242;ScannedRobot;CyberSquad.Manivela*;62,50;1,20;290,84;12,74;290,84;0,00;sample.Crazy;62,50;1,20;290,84;12,74;8,00;0
243;ScannedRobot;CyberSquad.Manivela*;62,50;1,10;293,31;12,74;293,31;0,00;sample.Crazy;62,50;1,10;293,31;12,74;8,00;0
244;ScannedRobot;CyberSquad.Manivela*;62,50;1,00;295,72;12,74;295,72;0,00;sample.Crazy;62,50;1,00;295,72;12,74;8,00;0
245;ScannedRobot;CyberSquad.Manivela*;62,50;0,90;298,02;12,74;298,02;0,00;sample.Crazy;62,50;0,90;298,02;12,74;8,00;0
246;ScannedRobot;CyberSquad.Manivela*;62,50;0,80;300,18;12,74;300,18;0,00;sample.Crazy;62,50;0,80;300,18;12,74;8,00;0
247;ScannedRobot;CyberSquad.Manivela*;62,50;0,70;302,17;12,74;302,17;0,00;sample.Crazy;62,50;0,70;302,17;12,74;8,00;0
248;ScannedRobot;CyberSquad.Manivela*;65,50;0,60;303,98;12,74;303,98;0,00;sample.Crazy;65,50;0,60;303,98;12,74;8,00;0
249;ScannedRobot;CyberSquad.Manivela*;65,50;0,50;305,60;12,74;305,60;0,00;sample.Crazy;65,50;0,50;305,60;12,74;8,00;0
250;ScannedRobot;CyberSquad.Manivela*;65,50;0,40;307,02;12,74;307,02;0,00;sample.Crazy;65,50;0,40;307,02;12,74;8,00;0
251;ScannedRobot;CyberSquad.Manivela*;65,50;0,30;308,24;12,74;308,24;0,00;sample.Crazy;65,50;0,30;308,24;12,74;8,00;0
252;ScannedRobot;CyberSquad.Manivela*;65,50;0,20;309,28;12,74;309,28;0,00;sample.Crazy;65,50;0,20;309,28;12,74;8,00;0
253;ScannedRobot;CyberSquad.Manivela*;65,50;0,10;310,13;12,74;310,13;0,00;sample.Crazy;65,50;0,10;310,13;12,74;8,00;0
254;ScannedRobot;CyberSquad.Manivela*;65,50;0,00;310,80;12,74;310,80;0,00;sample.Crazy;65,50;0,00;310,80;12,74;8,00;0
255;ScannedRobot;CyberSquad.Manivela*;65,50;1,19;311,56;12,74;311,56;0,00;sample.Crazy;65,50;1,19;311,56;12,74;8,00;0
256;ScannedRobot;CyberSquad.Manivela*;65,50;1,09;312,38;12,74;312,38;0,00;sample.Crazy;65,50;1,09;312,38;12,74;8,00;0
257;ScannedRobot;CyberSquad.Manivela*;62,50;0,99;313,27;12,74;313,27;0,00;sample.Crazy;62,50;0,99;313,27;12,74;0,00;0
258;ScannedRobot;CyberSquad.Manivela*;62,50;0,89;313,91;12,74;313,91;0,00;sample.Crazy;62,50;0,89;313,91;12,74;-1,00;0
259;ScannedRobot;CyberSquad.Manivela*;62,50;0,79;313,76;12,74;313,76;0,00;sample.Crazy;62,50;0,79;313,76;12,74;-2,00;0
260;ScannedRobot;CyberSquad.Manivela*;62,50;0,69;313,42;12,74;313,42;0,00;sample.Crazy;62,50;0,69;313,42;12,74;-3,00;0
261;ScannedRobot;CyberSquad.Manivela*;62,50;0,59;312,85;12,74;312,85;0,00;sample.Crazy;62,50;0,59;312,85;12,74;-4,00;0
262;ScannedRobot;CyberSquad.Manivela*;62,50;0,49;312,03;12,74;312,03;0,00;sample.Crazy;62,50;0,49;312,03;12,74;-5,00;0
263;ScannedRobot;CyberSquad.Manivela*;62,50;0,39;310,96;12,74;310,96;0,00;sample.Crazy;62,50;0,39;310,96;12,74;-6,00;0
264;ScannedRobot;CyberSquad.Manivela*;62,50;0,29;309,65;12,74;309,65;0,00;sample.Crazy;62,50;0,29;309,65;12,74;-7,00;0
265;ScannedRobot;CyberSquad.Manivela*;62,50;0,19;308,12;12,74;308,12;0,00;sample.Crazy;62,50;0,19;308,12;12,74;-8,00;0
266;ScannedRobot;CyberSquad.Manivela*;62,50;0,09;306,39;12,74;306,39;0,00;sample.Crazy;62,50;0,09;306,39;12,74;-8,00;0
267;ScannedRobot;CyberSquad.Manivela*;62,50;0,00;304,70;12,74;304,70;0,00;sample.Crazy;62,50;0,00;304,70;12,74;-8,00;0
